	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,124]	0.2285	0.0003489	0.06164	0.05913	0.1282	0.2213	0.3685	30800.0	31240.0	1.614	1.0
a_conf[1,125]	0.4164	0.0003921	0.07854	0.07893	0.2768	0.4121	0.5827	40010.0	32070.0	2.096	1.0
a_conf[1,126]	0.2866	0.0003211	0.06165	0.06106	0.1803	0.282	0.4202	36770.0	33660.0	1.927	1.0
a_conf[1,127]	0.2533	0.0004507	0.08447	0.08193	0.1144	0.2447	0.4429	33190.0	27660.0	1.739	1.0
a_conf[1,128]	0.3371	0.0003845	0.07284	0.07219	0.2117	0.3313	0.4966	36110.0	31940.0	1.892	1.0
a_conf[1,129]	0.3238	0.000483	0.08626	0.08463	0.1776	0.316	0.5151	31590.0	30520.0	1.655	1.0
a_conf[1,130]	0.3091	0.0004365	0.07298	0.07092	0.1884	0.3016	0.472	28630.0	29380.0	1.5	1.0
a_conf[1,131]	0.2959	0.0006795	0.1024	0.106	0.1192	0.2898	0.5129	21280.0	19060.0	1.115	1.0
a_conf[1,132]	0.3011	0.0006871	0.1391	0.1424	0.07953	0.2851	0.6095	40380.0	28690.0	2.115	1.0
a_conf[1,133]	0.3276	0.0005272	0.1018	0.1036	0.1541	0.3196	0.5466	35000.0	26750.0	1.834	1.0
a_conf[1,134]	0.3393	0.0006433	0.1029	0.09831	0.18	0.3241	0.577	26440.0	27600.0	1.385	1.0
a_conf[1,135]	0.3379	0.000639	0.1071	0.1091	0.158	0.3287	0.5697	26920.0	26020.0	1.41	1.0
a_conf[1,136]	0.3027	0.0004097	0.07428	0.07435	0.1765	0.2966	0.4636	32140.0	29590.0	1.684	1.0
a_conf[1,137]	0.1924	0.0007149	0.1018	0.09664	0.0491	0.1737	0.4346	18750.0	21920.0	0.9821	1.0
a_conf[1,138]	0.3666	0.0004621	0.08039	0.07931	0.2296	0.3598	0.5423	30610.0	29910.0	1.604	1.0
a_conf[1,139]	0.2434	0.0003041	0.05782	0.05651	0.1479	0.2373	0.3721	36090.0	32350.0	1.891	1.0
a_conf[1,140]	0.386	0.0004512	0.08377	0.08337	0.2412	0.38	0.5689	34840.0	30040.0	1.825	1.0
a_conf[1,141]	0.5599	0.0008591	0.1441	0.1507	0.27	0.5635	0.8244	28380.0	24130.0	1.487	1.0
